Letter,Col1,Col2,Col3,Col4,Col5
A,0x7F,0x88,0x88,0x88,0x7F
B,0xFF,0x91,0x91,0x91,0x6E
C,0x7E,0x81,0x81,0x81,0x42
D,0xFF,0x81,0x81,0x42,0x3C
E,0xFF,0x91,0x91,0x91,0x81
F,0xFF,0x90,0x90,0x90,0x80
G,0x7E,0x81,0x89,0x89,0x4E
H,0xFF,0x10,0x10,0x10,0xFF
I,0x81,0x81,0xFF,0x81,0x81
J,0x06,0x01,0x01,0x01,0xFE
K,0xFF,0x18,0x24,0x42,0x81
L,0xFF,0x01,0x01,0x01,0x01
M,0xFF,0x40,0x30,0x40,0xFF
N,0xFF,0x40,0x30,0x08,0xFF
O,0x7E,0x81,0x81,0x81,0x7E
P,0xFF,0x88,0x88,0x88,0x70
Q,0x7E,0x81,0x85,0x82,0x7D
R,0xFF,0x88,0x8C,0x8A,0x71
S,0x61,0x91,0x91,0x91,0x8E
T,0x80,0x80,0xFF,0x80,0x80
U,0xFE,0x01,0x01,0x01,0xFE
V,0xF0,0x0C,0x03,0x0C,0xF0
W,0xFF,0x02,0x0C,0x02,0xFF
X,0xC3,0x24,0x18,0x24,0xC3
Y,0xE0,0x10,0x0F,0x10,0xE0
Z,0x83,0x85,0x99,0xA1,0xC1
a,0x06,0x29,0x29,0x29,0x1F
b,0xFF,0x09,0x11,0x11,0x0E
c,0x1E,0x21,0x21,0x21,0x12
d,0x0E,0x11,0x11,0x09,0xFF
e,0x0E,0x15,0x15,0x15,0x0C
f,0x08,0x7F,0x88,0x80,0x40
g,0x30,0x49,0x49,0x49,0x7E
h,0xFF,0x08,0x10,0x10,0x0F
i,0x00,0x00,0x5F,0x00,0x00
j,0x02,0x01,0x21,0xBE,0x00
k,0xFF,0x04,0x0A,0x11,0x00
l,0x00,0x81,0xFF,0x01,0x00
m,0x3F,0x20,0x18,0x20,0x1F
n,0x3F,0x10,0x20,0x20,0x1F
o,0x0E,0x11,0x11,0x11,0x0E
p,0x3F,0x24,0x24,0x24,0x18
q,0x10,0x28,0x28,0x18,0x3F
r,0x1F,0x08,0x10,0x10,0x08
s,0x09,0x15,0x15,0x15,0x02
t,0x20,0xFE,0x21,0x01,0x02
u,0x1E,0x01,0x01,0x02,0x1F
v,0x1C,0x02,0x01,0x02,0x1C
w,0x1E,0x01,0x0E,0x01,0x1E
x,0x11,0x0A,0x04,0x0A,0x11
y,0x00,0x39,0x05,0x05,0x3E
z,0x11,0x13,0x15,0x19,0x11
1,0x00,0x41,0xFF,0x01,0x00
2,0x43,0x85,0x89,0x91,0x61
3,0x42,0x81,0x91,0x91,0x6E
4,0x18,0x28,0x48,0xFF,0x08
5,0xF2,0x91,0x91,0x91,0x8E
6,0x1E,0x29,0x49,0x89,0x86
7,0x80,0x8F,0x90,0xA0,0xC0
8,0x6E,0x91,0x91,0x91,0x6E
9,0x70,0x89,0x89,0x8A,0x7C
?,0x60,0x80,0x8D,0x90,0x60
!,0x00,0x00,0xFD,0x00,0x00
0,0x7E,0x89,0x91,0xA1,0x7E
@,0x66,0x89,0x8F,0x81,0x7E
#,0x24,0xFF,0x24,0xFF,0x24
&,0x76,0x89,0x95,0x62,0x05
(,0x00,0x3C,0x42,0x81,0x00
),0x00,0x81,0x42,0x3C,0x00
"""+""",0x08,0x08,0x3E,0x08,0x08
-,0x08,0x08,0x08,0x08,0x08
=,0x14,0x14,0x14,0x14,0x14
R arrow,0x10,0x10,0x54,0x38,0x10
L arrow,0x08,0x1C,0x2A,0x08,0x08
$,0x12,0x2A,0x7F,0x2A,0x24
smile,0x44,0x02,0x12,0x02,0x44
5x8 block,0xFF,0xFF,0xFF,0xFF,0xFF
4x8 block,0xFF,0xFF,0xFF,0xFF,0x00
3x8 block,0xFF,0xFF,0xFF,0x00,0x00
2x8 block,0xFF,0xFF,0x00,0x00,0x00
1x8 block,0xFF,0x00,0x00,0x00,0x00
